x m,FRD [n/m^3/s]
0.01,9.09796E+017
0.02,1.21791E+018
0.03,1.57891E+018
0.04,1.80307E+018
0.05,2.10679E+018
0.06,2.46778E+018
0.07,2.6477E+018
0.08,2.93554E+018
0.09,3.12751E+018
0.1,3.46981E+018
0.11,3.74861E+018
0.12,4.12834E+018
0.13,4.24423E+018
0.14,4.54918E+018
0.15,4.79366E+018
0.16,5.09552E+018
0.17,5.41697E+018
0.18,5.56562E+018
0.19,5.85802E+018
0.2,6.0451E+018
0.21,6.27613E+018
0.22,6.48981E+018
0.23,6.80664E+018
0.24,6.97E+018
0.25,7.36489E+018
0.26,7.40692E+018
0.27,7.68704E+018
0.28,8.05251E+018
0.29,8.15115E+018
0.3,8.40132E+018
0.31,8.72475E+018
0.32,9.04529E+018
0.33,9.10425E+018
0.34,9.29507E+018
0.35,9.67494E+018
0.36,9.78632E+018
0.37,1.02399E+019
0.38,1.03632E+019
0.39,1.04967E+019
0.4,1.08088E+019
0.41,1.10254E+019
0.42,1.1206E+019
0.43,1.14164E+019
0.44,1.13728E+019
0.45,1.19006E+019
0.46,1.20561E+019
0.47,1.21554E+019
0.48,1.24563E+019
0.49,1.26169E+019
0.5,1.29931E+019
0.51,1.31737E+019
0.52,1.35028E+019
0.53,1.33383E+019
0.54,1.3499E+019
0.55,1.37747E+019
0.56,1.39494E+019
0.57,1.42149E+019
0.58,1.44179E+019
0.59,1.44785E+019
0.6,1.46384E+019
0.61,1.47207E+019
0.62,1.46644E+019
0.63,1.51433E+019
0.64,1.50736E+019
0.65,1.54621E+019
0.66,1.53293E+019
0.67,1.57665E+019
0.68,1.58213E+019
0.69,1.56115E+019
0.7,1.59487E+019
0.71,1.6113E+019
0.72,1.58569E+019
0.73,1.64857E+019
0.74,1.66561E+019
0.75,1.66136E+019
0.76,1.67393E+019
0.77,1.68224E+019
0.78,1.69981E+019
0.79,1.69363E+019
0.8,1.72186E+019
0.81,1.7306E+019
0.82,1.72729E+019
0.83,1.74203E+019
0.84,1.74955E+019
0.85,1.72392E+019
0.86,1.745E+019
0.87,1.74411E+019
0.88,1.74261E+019
0.89,1.76437E+019
0.9,1.76093E+019
0.91,1.77221E+019
0.92,1.79378E+019
0.93,1.76297E+019
0.94,1.79819E+019
0.95,1.77066E+019
0.96,1.78837E+019
0.97,1.76963E+019
0.98,1.77677E+019
0.99,1.78522E+019
1,1.79814E+019
1.01,1.79373E+019
1.02,1.76714E+019
1.03,1.79084E+019
1.04,1.79678E+019
1.05,1.78367E+019
1.06,1.76115E+019
1.07,1.77508E+019
1.08,1.80055E+019
1.09,1.79368E+019
1.1,1.7735E+019
1.11,1.74913E+019
1.12,1.71727E+019
1.13,1.72969E+019
1.14,1.74559E+019
1.15,1.73182E+019
1.16,1.74457E+019
1.17,1.70744E+019
1.18,1.72302E+019
1.19,1.70677E+019
1.2,1.69994E+019
1.21,1.68104E+019
1.22,1.70078E+019
1.23,1.67188E+019
1.24,1.66032E+019
1.25,1.67098E+019
1.26,1.61842E+019
1.27,1.62066E+019
1.28,1.63506E+019
1.29,1.6442E+019
1.3,1.60991E+019
1.31,1.60608E+019
1.32,1.56882E+019
1.33,1.56787E+019
1.34,1.55437E+019
1.35,1.54218E+019
1.36,1.5204E+019
1.37,1.49914E+019
1.38,1.51599E+019
1.39,1.47802E+019
1.4,1.46219E+019
1.41,1.44484E+019
1.42,1.4192E+019
1.43,1.42194E+019
1.44,1.41987E+019
1.45,1.38994E+019
1.46,1.36844E+019
1.47,1.33122E+019
1.48,1.34023E+019
1.49,1.31568E+019
1.5,1.32481E+019
1.51,1.29183E+019
1.52,1.24792E+019
1.53,1.23763E+019
1.54,1.24107E+019
1.55,1.21976E+019
1.56,1.17682E+019
1.57,1.15426E+019
1.58,1.15613E+019
1.59,1.13107E+019
1.6,1.09963E+019
1.61,1.07124E+019
1.62,1.06208E+019
1.63,1.01004E+019
1.64,1.03206E+019
1.65,9.93617E+018
1.66,1.00157E+019
1.67,9.46412E+018
1.68,9.4037E+018
1.69,9.18266E+018
1.7,8.86969E+018
1.71,8.65294E+018
1.72,8.22145E+018
1.73,7.89334E+018
1.74,7.81414E+018
1.75,7.54969E+018
1.76,7.3395E+018
1.77,6.76144E+018
1.78,6.70904E+018
1.79,6.46077E+018
1.8,6.23579E+018
1.81,5.80479E+018
1.82,5.75165E+018
1.83,5.62573E+018
1.84,5.23985E+018
1.85,5.07379E+018
1.86,4.90115E+018
1.87,4.596E+018
1.88,4.15464E+018
1.89,4.01437E+018
1.9,3.7244E+018
1.91,3.46407E+018
1.92,3.17985E+018
1.93,2.83185E+018
1.94,2.65645E+018
1.95,2.25197E+018
1.96,2.08208E+018
1.97,1.7245E+018
1.98,1.48094E+018
1.99,1.12872E+018
2,8.22021E+017
