"arc_length","U:y"
0,0
0.01,-0.026642
0.02,-0.053283
0.03,-0.076794
0.04,-0.097373
0.05,-0.11788
0.06,-0.13296
0.07,-0.14804
0.08,-0.16069
0.09,-0.171
0.1,-0.18129
0.11,-0.1876
0.12,-0.19392
0.13,-0.19855
0.14,-0.20152
0.15,-0.2045
0.16,-0.20472
0.17,-0.20495
0.18,-0.20406
0.19,-0.20204
0.2,-0.20003
0.21,-0.19619
0.22,-0.19234
0.23,-0.18779
0.24,-0.18249
0.25,-0.17721
0.26,-0.17078
0.27,-0.16435
0.28,-0.15751
0.29,-0.15021
0.3,-0.14295
0.31,-0.13505
0.32,-0.12715
0.33,-0.11907
0.34,-0.11078
0.35,-0.10251
0.36,-0.094037
0.37,-0.08556
0.38,-0.077096
0.39,-0.068602
0.4,-0.060128
0.41,-0.051741
0.42,-0.043355
0.43,-0.035093
0.44,-0.026915
0.45,-0.018757
0.46,-0.010874
0.47,-0.00299
0.48,0.0046952
0.49,0.01222
0.5,0.019725
0.51,0.026834
0.52,0.033942
0.53,0.04079
0.54,0.047417
0.55,0.054024
0.56,0.060127
0.57,0.06623
0.58,0.072052
0.59,0.077629
0.6,0.083191
0.61,0.088262
0.62,0.093333
0.63,0.098142
0.64,0.10272
0.65,0.10728
0.66,0.11137
0.67,0.11546
0.68,0.11931
0.69,0.12295
0.7,0.12658
0.71,0.12981
0.72,0.13305
0.73,0.13609
0.74,0.13895
0.75,0.14181
0.76,0.14432
0.77,0.14684
0.78,0.14918
0.79,0.15136
0.8,0.15353
0.81,0.1554
0.82,0.15727
0.83,0.15898
0.84,0.16054
0.85,0.1621
0.86,0.16338
0.87,0.16466
0.88,0.16581
0.89,0.16684
0.9,0.16787
0.91,0.16865
0.92,0.16944
0.93,0.17011
0.94,0.17066
0.95,0.1712
0.96,0.17151
0.97,0.17181
0.98,0.17198
0.99,0.17202
1,0.17206
1.01,0.17183
1.02,0.1716
1.03,0.17124
1.04,0.17076
1.05,0.17029
1.06,0.1696
1.07,0.16891
1.08,0.16812
1.09,0.16725
1.1,0.16637
1.11,0.16531
1.12,0.16425
1.13,0.16308
1.14,0.16181
1.15,0.16054
1.16,0.15901
1.17,0.15748
1.18,0.15582
1.19,0.15401
1.2,0.15221
1.21,0.1501
1.22,0.14799
1.23,0.14572
1.24,0.14327
1.25,0.14083
1.26,0.13804
1.27,0.13524
1.28,0.13226
1.29,0.12908
1.3,0.12592
1.31,0.1223
1.32,0.11869
1.33,0.11485
1.34,0.11077
1.35,0.1067
1.36,0.10213
1.37,0.097553
1.38,0.092738
1.39,0.087646
1.4,0.082572
1.41,0.076955
1.42,0.071339
1.43,0.065492
1.44,0.05938
1.45,0.053282
1.46,0.046681
1.47,0.04008
1.48,0.033248
1.49,0.026154
1.5,0.01908
1.51,0.011528
1.52,0.0039751
1.53,-0.0037614
1.54,-0.011722
1.55,-0.019664
1.56,-0.02795
1.57,-0.036237
1.58,-0.044603
1.59,-0.053094
1.6,-0.061562
1.61,-0.070138
1.62,-0.078715
1.63,-0.087244
1.64,-0.095771
1.65,-0.10427
1.66,-0.11259
1.67,-0.1209
1.68,-0.12899
1.69,-0.1369
1.7,-0.14478
1.71,-0.15205
1.72,-0.15933
1.73,-0.16615
1.74,-0.17255
1.75,-0.17893
1.76,-0.18418
1.77,-0.18944
1.78,-0.19393
1.79,-0.19772
1.8,-0.20149
1.81,-0.20345
1.82,-0.20541
1.83,-0.20623
1.84,-0.20594
1.85,-0.20564
1.86,-0.2026
1.87,-0.19956
1.88,-0.19486
1.89,-0.18848
1.9,-0.18211
1.91,-0.17172
1.92,-0.16132
1.93,-0.14857
1.94,-0.13341
1.95,-0.1183
1.96,-0.097637
1.97,-0.076974
1.98,-0.053451
1.99,-0.026726
2,0
